O*NET-SOC Code,Title,hybrid_exposure,original_exposure,delta,hybrid_pctile,original_pctile
43-4171.00,Receptionists and Information Clerks,0.6223,0.6245,-0.0022,0.756,0.656
25-1113.00,"Social Work Teachers, Postsecondary",0.6223,0.6614,-0.0391,0.755,0.74
11-9199.10,Wind Energy Development Managers,0.622,0.6831,-0.0611,0.754,0.805
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,0.6216,0.6708,-0.0492,0.753,0.758
17-2061.00,Computer Hardware Engineers,0.6216,0.656,-0.0344,0.752,0.728
13-1151.00,Training and Development Specialists,0.6211,0.6762,-0.0551,0.751,0.779
39-1022.00,First-Line Supervisors of Personal Service Workers,0.6207,0.643,-0.0223,0.75,0.699
17-3022.00,Civil Engineering Technologists and Technicians,0.6205,0.6673,-0.0468,0.749,0.753
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,0.6203,0.6578,-0.0375,0.748,0.732
13-1082.00,Project Management Specialists,0.62,0.6512,-0.0312,0.746,0.716
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",0.6196,0.6474,-0.0278,0.745,0.712
41-2011.00,Cashiers,0.6192,0.6731,-0.0539,0.744,0.77
11-2033.00,Fundraising Managers,0.619,0.6801,-0.0611,0.743,0.792
11-9071.00,Gambling Managers,0.6189,0.6647,-0.0458,0.742,0.751
11-3051.01,Quality Control Systems Managers,0.6185,0.6618,-0.0433,0.741,0.743
11-3051.00,Industrial Production Managers,0.6185,0.6509,-0.0324,0.74,0.715
11-3071.00,"Transportation, Storage, and Distribution Managers",0.6181,0.6281,-0.01,0.739,0.66
19-2041.02,Environmental Restoration Planners,0.6177,0.6777,-0.06,0.738,0.783
11-3131.00,Training and Development Managers,0.6169,0.6545,-0.0376,0.737,0.723
13-1131.00,Fundraisers,0.6167,0.6816,-0.0649,0.736,0.801
11-9121.00,Natural Sciences Managers,0.6163,0.6639,-0.0476,0.735,0.748
43-4111.00,"Interviewers, Except Eligibility and Loan",0.6163,0.6347,-0.0184,0.733,0.678
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.6163,0.6619,-0.0456,0.732,0.744
23-1022.00,"Arbitrators, Mediators, and Conciliators",0.6163,0.6356,-0.0193,0.731,0.681
19-1029.04,Biologists,0.616,0.6722,-0.0562,0.73,0.764
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.6151,0.6682,-0.0531,0.729,0.754
19-1012.00,Food Scientists and Technologists,0.6149,0.659,-0.0441,0.728,0.735
13-1041.03,Equal Opportunity Representatives and Officers,0.6143,0.6445,-0.0302,0.727,0.7
11-3013.01,Security Managers,0.6139,0.6317,-0.0178,0.726,0.668
21-2021.00,"Directors, Religious Activities and Education",0.6138,0.6224,-0.0086,0.725,0.65
19-2011.00,Astronomers,0.6136,0.6472,-0.0336,0.724,0.711
25-1054.00,"Physics Teachers, Postsecondary",0.6132,0.6519,-0.0387,0.723,0.718
17-2141.00,Mechanical Engineers,0.6132,0.6559,-0.0427,0.722,0.727
29-2099.08,Patient Representatives,0.613,0.6343,-0.0213,0.72,0.677
23-1011.00,Lawyers,0.6128,0.6211,-0.0083,0.719,0.646
17-2072.01,Radio Frequency Identification Device Specialists,0.6126,0.6378,-0.0252,0.718,0.686
19-3093.00,Historians,0.6125,0.7013,-0.0888,0.717,0.851
17-1011.00,"Architects, Except Landscape and Naval",0.6124,0.6615,-0.0491,0.716,0.741
11-9111.00,Medical and Health Services Managers,0.6121,0.6427,-0.0306,0.715,0.698
25-1042.00,"Biological Science Teachers, Postsecondary",0.612,0.6527,-0.0407,0.714,0.72
11-9051.00,Food Service Managers,0.6118,0.6379,-0.0261,0.713,0.688
27-2012.00,Producers and Directors,0.6114,0.6351,-0.0237,0.712,0.68
43-9021.00,Data Entry Keyers,0.6111,0.7029,-0.0918,0.711,0.856
41-2021.00,Counter and Rental Clerks,0.611,0.6621,-0.0511,0.71,0.745
13-1199.07,Security Management Specialists,0.6108,0.6327,-0.0219,0.709,0.671
11-9021.00,Construction Managers,0.6103,0.6419,-0.0316,0.707,0.696
11-1031.00,Legislators,0.6102,0.6342,-0.024,0.706,0.676
29-1229.05,Preventive Medicine Physicians,0.61,0.6462,-0.0362,0.705,0.705
19-3034.00,School Psychologists,0.6095,0.6466,-0.0371,0.704,0.707
11-1011.00,Chief Executives,0.6095,0.6373,-0.0278,0.703,0.685
15-1241.00,Computer Network Architects,0.6095,0.664,-0.0545,0.702,0.749
17-1012.00,Landscape Architects,0.6088,0.6239,-0.0151,0.701,0.654
53-1042.01,Recycling Coordinators,0.6087,0.6303,-0.0216,0.7,0.666
11-9171.00,Funeral Home Managers,0.6084,0.6283,-0.0199,0.699,0.662
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",0.6083,0.638,-0.0297,0.698,0.689
19-3032.00,Industrial-Organizational Psychologists,0.6083,0.6446,-0.0363,0.697,0.701
19-2099.01,Remote Sensing Scientists and Technologists,0.6081,0.6791,-0.071,0.696,0.789
19-3039.02,Neuropsychologists,0.608,0.6193,-0.0113,0.694,0.644
19-1031.03,Park Naturalists,0.608,0.6321,-0.0241,0.693,0.67
19-2021.00,Atmospheric and Space Scientists,0.6079,0.6737,-0.0658,0.692,0.772
17-2171.00,Petroleum Engineers,0.6078,0.6333,-0.0255,0.691,0.673
19-2032.00,Materials Scientists,0.6072,0.657,-0.0498,0.69,0.729
53-1044.00,First-Line Supervisors of Passenger Attendants,0.6071,0.6211,-0.014,0.689,0.646
27-3023.00,"News Analysts, Reporters, and Journalists",0.607,0.6793,-0.0723,0.688,0.79
27-1011.00,Art Directors,0.607,0.6378,-0.0308,0.687,0.686
11-3121.00,Human Resources Managers,0.6069,0.6281,-0.0212,0.686,0.66
19-1031.00,Conservation Scientists,0.6065,0.6616,-0.0551,0.685,0.742
25-1194.00,"Career/Technical Education Teachers, Postsecondary",0.6061,0.618,-0.0119,0.684,0.639
17-2121.00,Marine Engineers and Naval Architects,0.6055,0.6391,-0.0336,0.683,0.691
19-1029.02,Molecular and Cellular Biologists,0.6047,0.6577,-0.053,0.681,0.731
19-1031.02,Range Managers,0.6046,0.6452,-0.0406,0.68,0.703
19-4092.00,Forensic Science Technicians,0.6046,0.5814,0.0232,0.679,0.582
17-3027.00,Mechanical Engineering Technologists and Technicians,0.6043,0.6526,-0.0483,0.678,0.719
25-2059.01,Adapted Physical Education Specialists,0.6042,0.6303,-0.0261,0.677,0.666
25-1021.00,"Computer Science Teachers, Postsecondary",0.604,0.6341,-0.0301,0.676,0.674
19-1042.00,"Medical Scientists, Except Epidemiologists",0.6038,0.648,-0.0442,0.675,0.714
17-2021.00,Agricultural Engineers,0.6038,0.6264,-0.0226,0.674,0.658
11-9151.00,Social and Community Service Managers,0.6037,0.6306,-0.0269,0.673,0.667
13-1041.01,Environmental Compliance Inspectors,0.6035,0.6474,-0.0439,0.672,0.712
11-9041.00,Architectural and Engineering Managers,0.6033,0.6245,-0.0212,0.671,0.656
29-1031.00,Dietitians and Nutritionists,0.6026,0.6133,-0.0107,0.67,0.633
17-1022.00,Surveyors,0.6024,0.658,-0.0556,0.668,0.733
19-1023.00,Zoologists and Wildlife Biologists,0.6023,0.6469,-0.0446,0.667,0.71
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",0.602,0.6184,-0.0164,0.666,0.641
17-2081.00,Environmental Engineers,0.6017,0.6426,-0.0409,0.665,0.697
29-1222.00,"Physicians, Pathologists",0.6007,0.6118,-0.0111,0.664,0.628
11-9199.09,Wind Energy Operations Managers,0.6006,0.6468,-0.0462,0.663,0.709
17-2071.00,Electrical Engineers,0.6006,0.6351,-0.0345,0.662,0.68
