O*NET-SOC Code,Title,original,text,text_weight_share,text_delta,combined,combined_weight_share,combined_delta,soc6
19-1011.00,Animal Scientists,0.7204,0.5027,0.27213151647843575,-0.2177,0.5027,0.27213151647843575,-0.2177,19-1011
19-2012.00,Physicists,0.7198,0.666,0.07183319984077743,-0.05379999999999996,0.6566,0.11873215323976909,-0.06320000000000003,19-2012
27-1024.00,Graphic Designers,0.7185,0.6492,0.09234404600132541,-0.06930000000000003,0.6053,0.188041797479031,-0.11320000000000008,27-1024
19-3099.01,Transportation Planners,0.7181,0.6909,0.038802584332328596,-0.027200000000000002,0.6909,0.038802584332328596,-0.027200000000000002,19-3099
11-3061.00,Purchasing Managers,0.7156,0.6941,0.06157999613757393,-0.021499999999999964,0.6941,0.06157999613757393,-0.021499999999999964,11-3061
17-3031.00,Surveying and Mapping Technicians,0.7152,0.6465,0.09687635711416245,-0.06869999999999998,0.6465,0.09687635711416245,-0.06869999999999998,17-3031
17-1022.01,Geodetic Surveyors,0.7148,0.7148,0.0,0.0,0.7148,0.0,0.0,17-1022
11-9199.02,Compliance Managers,0.7137,0.7137,0.0,0.0,0.7137,0.0,0.0,11-9199
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.7136,0.7136,0.0,0.0,0.7109,0.054805624968508077,-0.0027000000000000357,43-4161
29-9021.00,Health Information Technologists and Medical Registrars,0.7135,0.6573,0.0625,-0.05620000000000003,0.6479,0.125,-0.06559999999999999,29-9021
17-2199.11,Solar Energy Systems Engineers,0.713,0.713,0.0,0.0,0.713,0.0,0.0,17-2199
19-3022.00,Survey Researchers,0.7127,0.7127,0.0,0.0,0.7127,0.0,0.0,19-3022
15-1221.00,Computer and Information Research Scientists,0.7126,0.6448,0.07976016113754764,-0.06779999999999997,0.6448,0.07976016113754764,-0.06779999999999997,15-1221
19-3011.00,Economists,0.7124,0.7124,0.0,0.0,0.7124,0.0,0.0,19-3011
17-2199.05,Mechatronics Engineers,0.7094,0.6371,0.09643928232127875,-0.07230000000000003,0.6234,0.1329890027892024,-0.08600000000000008,17-2199
11-9121.02,Water Resource Specialists,0.7092,0.6704,0.055351636776879404,-0.03880000000000006,0.6704,0.055351636776879404,-0.03880000000000006,11-9121
47-4011.01,Energy Auditors,0.709,0.709,0.0,0.0,0.709,0.0,0.0,47-4011
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.7078,0.7078,0.0,0.0,0.7078,0.0,0.0,13-1023
43-3061.00,Procurement Clerks,0.7076,0.7076,0.0,0.0,0.7076,0.0,0.0,43-3061
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.7068,0.6973,0.018922369652952704,-0.009499999999999953,0.6881,0.04521965953211838,-0.01869999999999994,41-4011
15-1241.01,Telecommunications Engineering Specialists,0.7063,0.6542,0.08332897262136736,-0.052100000000000035,0.6542,0.08332897262136736,-0.052100000000000035,15-1241
19-1029.03,Geneticists,0.7063,0.7063,0.0,0.0,0.7063,0.0,0.0,19-1029
13-1161.01,Search Marketing Strategists,0.7049,0.7049,0.0,0.0,0.7049,0.0,0.0,13-1161
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.7044,0.639,0.08174674035661708,-0.06540000000000001,0.639,0.08174674035661708,-0.06540000000000001,11-9041
13-1032.00,"Insurance Appraisers, Auto Damage",0.7044,0.1318,0.7143440973997629,-0.5726,0.1318,0.7143440973997629,-0.5726,13-1032
17-2011.00,Aerospace Engineers,0.7044,0.7044,0.0,0.0,0.7044,0.0,0.0,17-2011
43-6012.00,Legal Secretaries and Administrative Assistants,0.7038,0.7038,0.0,0.0,0.6643,0.09871204111940923,-0.03949999999999998,43-6012
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",0.7031,0.6667,0.04034084200557202,-0.03639999999999999,0.6667,0.04034084200557202,-0.03639999999999999,13-1022
25-1082.00,"Library Science Teachers, Postsecondary",0.7029,0.7029,0.0,0.0,0.7029,0.0,0.0,25-1082
43-9021.00,Data Entry Keyers,0.7029,0.6715,0.0784187388529274,-0.031399999999999983,0.6651,0.20735196684185744,-0.037799999999999945,43-9021
19-4012.01,Precision Agriculture Technicians,0.7024,0.6638,0.09469491164451228,-0.03860000000000008,0.6524,0.1883617985044038,-0.050000000000000044,19-4012
11-9121.01,Clinical Research Coordinators,0.7022,0.7022,0.0,0.0,0.6902,0.025660173595353938,-0.01200000000000001,11-9121
17-2199.10,Wind Energy Engineers,0.7017,0.651,0.05961002224224331,-0.05069999999999997,0.651,0.05961002224224331,-0.05069999999999997,17-2199
15-1252.00,Software Developers,0.7013,0.7013,0.0,0.0,0.7013,0.0,0.0,15-1252
19-3093.00,Historians,0.7013,0.7013,0.0,0.0,0.696,0.05302133571594702,-0.005300000000000082,19-3093
11-1011.03,Chief Sustainability Officers,0.7008,0.7008,0.0,0.0,0.7008,0.0,0.0,11-1011
43-5061.00,"Production, Planning, and Expediting Clerks",0.7008,0.6543,0.05024225782039132,-0.046499999999999986,0.6543,0.05024225782039132,-0.046499999999999986,43-5061
41-4011.07,Solar Sales Representatives and Assessors,0.7,0.7,0.0,0.0,0.7,0.0,0.0,41-4011
13-2052.00,Personal Financial Advisors,0.699,0.699,0.0,0.0,0.699,0.0,0.0,13-2052
11-3111.00,Compensation and Benefits Managers,0.6975,0.6975,0.0,0.0,0.6975,0.0,0.0,11-3111
17-2041.00,Chemical Engineers,0.6973,0.6716,0.05124212767437071,-0.025700000000000056,0.6716,0.05124212767437071,-0.025700000000000056,17-2041
17-2199.06,Microsystems Engineers,0.697,0.6484,0.06475214805898098,-0.04859999999999998,0.6446,0.0836728408367451,-0.0524,17-2199
41-3021.00,Insurance Sales Agents,0.6968,0.683,0.018416672981659072,-0.013799999999999923,0.683,0.018416672981659072,-0.013799999999999923,41-3021
41-9021.00,Real Estate Brokers,0.6963,0.6705,0.051466662229964086,-0.025800000000000045,0.6705,0.051466662229964086,-0.025800000000000045,41-9021
43-6011.00,Executive Secretaries and Executive Administrative Assistants,0.6961,0.6961,0.0,0.0,0.6961,0.0,0.0,43-6011
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",0.6957,0.6957,0.0,0.0,0.6957,0.0,0.0,25-1126
17-1021.00,Cartographers and Photogrammetrists,0.6952,0.6952,0.0,0.0,0.6952,0.0,0.0,17-1021
19-2041.00,"Environmental Scientists and Specialists, Including Health",0.6945,0.6945,0.0,0.0,0.6945,0.0,0.0,19-2041
15-1244.00,Network and Computer Systems Administrators,0.6943,0.54,0.18761303254020312,-0.1543,0.54,0.18761303254020312,-0.1543,15-1244
25-9021.00,Farm and Home Management Educators,0.6943,0.6943,0.0,0.0,0.6943,0.0,0.0,25-9021
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.6933,0.6933,0.0,0.0,0.6933,0.0,0.0,25-1062
17-2112.03,Manufacturing Engineers,0.6931,0.64,0.09139945093234819,-0.053100000000000036,0.64,0.09139945093234819,-0.053100000000000036,17-2112
11-3021.00,Computer and Information Systems Managers,0.6928,0.6928,0.0,0.0,0.6928,0.0,0.0,11-3021
13-2061.00,Financial Examiners,0.6916,0.6916,0.0,0.0,0.6916,0.0,0.0,13-2061
25-1125.00,"History Teachers, Postsecondary",0.6914,0.6914,0.0,0.0,0.6914,0.0,0.0,25-1125
25-1031.00,"Architecture Teachers, Postsecondary",0.6908,0.6908,0.0,0.0,0.6908,0.0,0.0,25-1031
11-9199.01,Regulatory Affairs Managers,0.6905,0.6905,0.0,0.0,0.6905,0.0,0.0,11-9199
