O*NET-SOC Code,Title,exposure,n_tasks,share_high,share_low,wshare_ANLY,wshare_CARE,wshare_CRTV,wshare_INFO,wshare_MACH,wshare_MGMT,wshare_PHYS,wshare_SOCL,wshare_TECH,exposure_pctile
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",0.231,31,0.0926,0.6939,0.0,0.0,0.0,0.1482,0.0483,0.0,0.8035,0.0,0.0,0.165
27-2031.00,Dancers,0.2306,14,0.1339,0.7668,0.0,0.0,0.4956,0.1339,0.0,0.0,0.3268,0.0437,0.0,0.164
51-9194.00,Etchers and Engravers,0.2304,26,0.1128,0.8471,0.0388,0.0,0.0402,0.074,0.0663,0.0,0.7808,0.0,0.0,0.163
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.2302,18,0.0584,0.7579,0.0671,0.0,0.0,0.0584,0.3814,0.0,0.4931,0.0,0.0,0.161
49-3023.00,Automotive Service Technicians and Mechanics,0.2296,30,0.115,0.7328,0.0369,0.0,0.0,0.0866,0.0427,0.0372,0.7589,0.0377,0.0,0.16
49-9092.00,Commercial Divers,0.2295,23,0.0538,0.7328,0.0178,0.0442,0.0,0.0538,0.1306,0.0371,0.656,0.0605,0.0,0.159
35-2014.00,"Cooks, Restaurant",0.2288,20,0.1111,0.7076,0.0583,0.0,0.0326,0.0202,0.066,0.0481,0.7748,0.0,0.0,0.158
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",0.2287,32,0.0912,0.7499,0.0,0.0,0.0,0.1157,0.0,0.0,0.83,0.0543,0.0,0.157
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",0.2282,30,0.113,0.814,0.0,0.0,0.0,0.113,0.0186,0.0,0.8685,0.0,0.0,0.156
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.2257,25,0.0967,0.752,0.038,0.0,0.0,0.0967,0.3071,0.026,0.5322,0.0,0.0,0.155
49-3092.00,Recreational Vehicle Service Technicians,0.2241,17,0.1168,0.8209,0.059,0.0,0.0,0.0624,0.0,0.0,0.8209,0.0578,0.0,0.154
49-3051.00,Motorboat Mechanics and Service Technicians,0.2236,13,0.0809,0.7575,0.0,0.0,0.0,0.0809,0.1616,0.0,0.7575,0.0,0.0,0.153
51-9022.00,"Grinding and Polishing Workers, Hand",0.222,17,0.1091,0.8192,0.0718,0.0,0.0,0.1091,0.0706,0.0,0.7486,0.0,0.0,0.152
49-9011.00,Mechanical Door Repairers,0.2216,25,0.1733,0.7679,0.0,0.0,0.0,0.2191,0.0,0.0,0.7809,0.0,0.0,0.151
51-9123.00,"Painting, Coating, and Decorating Workers",0.2209,9,0.12,0.7742,0.1058,0.0,0.0,0.12,0.1451,0.0,0.6291,0.0,0.0,0.15
53-7073.00,Wellhead Pumpers,0.2208,14,0.0,0.7429,0.0,0.0,0.0,0.0,0.432,0.0542,0.5138,0.0,0.0,0.148
45-2041.00,"Graders and Sorters, Agricultural Products",0.219,5,0.1292,0.8708,0.0,0.0,0.0,0.1292,0.0,0.0,0.8708,0.0,0.0,0.147
47-5012.00,"Rotary Drill Operators, Oil and Gas",0.2188,20,0.0583,0.7676,0.1157,0.0,0.0,0.0583,0.2548,0.0578,0.455,0.0584,0.0,0.146
29-2055.00,Surgical Technologists,0.2182,16,0.0904,0.6923,0.0,0.529,0.0,0.0904,0.0718,0.0,0.3088,0.0,0.0,0.145
53-5011.00,Sailors and Marine Oilers,0.218,28,0.1113,0.7575,0.0207,0.0361,0.0,0.1113,0.0682,0.0357,0.7279,0.0,0.0,0.144
